Model,Model_Family,Scenario,Scenario_Category,Region,Variable,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Capital Cost|Electricity|Wind|Onshore,,,,963.8508,4038.5009,3732.9145,3455.1576,3338.9511,3229.2027,3190.5213000000003,3142.6187,3084.8888,3020.5401,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Efficiency|Electricity|Biomass|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Efficiency|Electricity|Biomass|w/o CCS,,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Efficiency|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,66.83619999999999,65.1328,63.7106,62.5321,64.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Efficiency|Electricity|Coal|w/o CCS,,,,60.2728,62.059,63.9337,65.9018,67.9689,66.83619999999999,65.1328,63.7106,62.5321,32.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Efficiency|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,93.4559,90.4176,87.5897,84.9511,83.8168,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Efficiency|Electricity|Gas|w/o CCS,,,,93.721,94.0087,94.2983,94.5898,94.8834,93.4559,90.4176,87.5897,84.9511,83.8168,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Emissions|CH4,,,,46.1772,48.8597,51.6409,54.2751,43.4603,38.0645,35.383399999999995,32.7717,30.608000000000004,28.385,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Emissions|CO2,,,,2335.752,1872.742,2018.2198,2082.0092,1676.7442,1076.0018,455.7263,-95.40040000000002,-377.6322,-1197.0839,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Emissions|N2O,,,,1177.0623,1271.6425,1358.8726,1438.0545,1237.1091,1155.0738,1131.4576,1102.2559,1079.2709,1049.4846,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,GDP|MER,,,,2800.904794801668,3302.5425310125,3982.702860439739,4785.12514769966,5589.52107921579,6364.11691913475,7234.17371506415,8173.026802449421,9200.70312456823,10294.59743425314,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,GDP|PPP,,,,4925.400460705419,5808.71663361873,7004.38720881183,8415.95835604794,9830.53255443234,11191.98374523866,12720.81176506029,14370.263604777389,16175.38729543106,18096.21235938367,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Biomass|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,75.7648,75.7648,75.7648,75.7648,75.7648,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Biomass|w/o CCS,,,,77.3007,75.7648,75.7648,75.7648,75.7648,75.7648,75.7648,75.7648,75.7648,75.7648,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,78.4322,78.5055,78.4331,78.1568,77.7474,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Coal|w/o CCS,,,,48.8707,75.977,77.1214,77.658,78.0995,78.4322,78.5055,78.4331,78.1568,77.91890000000001,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,28.2354,28.2354,28.2354,28.2354,28.2354,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Gas|w/o CCS,,,,33.4559,28.2354,28.2354,28.2354,28.2354,28.2354,28.2354,28.2354,28.2354,28.2354,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Geothermal,,,,51.4539,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Hydro,,,,29.4508,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Nuclear,,,,71.8564,189.9425,187.7738,184.0158,182.5152,180.7349,178.7707,176.4745,173.729,170.7062,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Solar|PV,,,,85.0032,88.89179999999999,63.7863,40.0021,33.8484,28.0025,26.1758,24.3934,22.6538,20.9554,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,OM Cost|Fixed|Electricity|Wind|Onshore,,,,39.3215,72.0942,66.6418,61.6866,59.615,57.6583,56.9701,56.1164,55.0866,53.9381,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Population,,,,557.1652,590.2103,622.1804,652.3691,680.0735999999999,704.5817999999999,725.4792,742.7466,756.2559,765.7641,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Price|Carbon,,,,0.0,0.0,0.0,0.0,17.2937056728628,58.15406182864221,77.2000150001507,96.49366404703298,106.49184038303198,119.911212836866,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Primary Energy|Coal,,,,1339.3,1579.1,1964.0,2088.7,1652.8,1133.6999999999998,1112.1000000000001,1165.3,1341.9,1270.8,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Primary Energy|Gas,,,,6098.7,8311.3,8987.0,9302.300000000001,8880.9,7399.9,7259.0,7079.6,6987.3,6331.7,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Primary Energy|Nuclear,,,,97.5999999999999,92.60000000000001,111.9,108.39999999999999,131.3,183.9,218.29999999999998,239.0,230.6,206.3,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Primary Energy|Oil,,,,13535.6,13703.2,13690.0,13784.599999999999,12737.8,10735.8,10359.400000000001,9926.1,9762.0,9163.1,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Primary Energy|Solar,,,,0.1,4.4,11.700000000000001,15.9,21.4,33.0,40.7,46.0,45.400000000000006,41.300000000000004,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Primary Energy|Wind,,,,11.1,15.100000000000001,133.0,187.20000000000002,255.29999999999993,347.5,405.2,444.5,440.7,407.2,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5LAM,Yield|Cereal,,,,5.8677,6.245,6.6594,7.078200000000001,7.5366,8.1055,8.5717,9.0438,9.4707,9.9013,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Biomass|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,34707.245299999995,34725.6223,34794.7405,34896.6621,34948.3372,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Biomass|w/o CCS,,,,1650.4207,13088.8234,13088.8234,27135.3656,27135.3656,27135.3656,27135.3656,27135.3656,27135.3656,27135.3656,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,18086.1425,18368.353000000003,18636.2276,18843.9286,18813.6638,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Coal|w/o CCS,,,,3135.1435,13452.6133,13489.8316,13502.5864,13556.3575,13725.1888,13802.3898,13838.5297,13838.5297,13838.5297,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,7684.691499999999,7749.0049,7833.0381,7929.783600000001,7913.407,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Gas|w/o CCS,,,,1777.8370000000002,4446.233899999999,4446.233899999999,4446.233899999999,4446.233899999999,4446.233899999999,4446.233899999999,4446.233899999999,4446.233899999999,4446.233899999999,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Geothermal,,,,1238.3182,6747.1156,6747.1156,6747.1156,6747.1156,6747.1156,6747.1156,6747.1156,6747.1156,6747.1156,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Hydro,,,,3038.1193,65607.4396,65607.4396,65607.4396,65607.4396,65607.4396,65607.4396,65607.4396,65607.4396,65607.4396,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Nuclear,,,,962.1628,30880.151,30124.1287,29310.3594,29088.8395,29108.658,28841.9113,28485.8269,27966.5329,27544.0901,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Solar|PV,,,,433.2423,19101.6834,13660.2886,8505.32,7317.5148,6189.1929,5699.0361,5220.8453,4754.1355,4298.551299999999,,,,,,,,,,,,,
