Model,Scenario,Ssp_family
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,2
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,2
AIM/CGE 2.1,CD-LINKS_NPi2020_400,2
AIM/CGE 2.1,CD-LINKS_NoPolicy,2
AIM/CGE 2.1,CO_2Deg2020,2
AIM/CGE 2.1,CO_2Deg2030,2
AIM/CGE 2.1,CO_BAU,2
AIM/CGE 2.1,CO_Bridge,2
AIM/CGE 2.1,CO_CurPol,2
AIM/CGE 2.1,CO_GPP,2
AIM/CGE 2.1,CO_NDCplus,2
AIM/CGE 2.1,EMF33_Baseline,2
AIM/CGE 2.1,EMF33_Med2C_cost100,2
AIM/CGE 2.1,EMF33_Med2C_full,2
AIM/CGE 2.1,EMF33_Med2C_nobeccs,2
AIM/CGE 2.1,EMF33_Med2C_nofuel,2
AIM/CGE 2.1,EMF33_Med2C_none,2
AIM/CGE 2.1,EMF33_WB2C_cost100,2
AIM/CGE 2.1,EMF33_WB2C_full,2
AIM/CGE 2.1,EMF33_tax_hi_full,2
AIM/CGE 2.1,EMF33_tax_hi_none,2
AIM/CGE 2.1,EMF33_tax_lo_full,2
AIM/CGE 2.1,EMF33_tax_lo_none,2
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,2
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,2
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,2
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,2
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,2
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,2
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,2
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,2
AIM/CGE 2.2,ADVANCE_WP2_TRA-450-FullTech,
AIM/CGE 2.2,ADVANCE_WP2_TRA-Base-FullTech,
AIM/CGE 2.2,ADVANCE_WP2_TRA-Ctax-FullTech,
AIM/CGE 2.2,EN_INDCi2030_1000f,2
AIM/CGE 2.2,EN_INDCi2030_1200,2
AIM/CGE 2.2,EN_INDCi2030_1200f,2
AIM/CGE 2.2,EN_INDCi2030_1400,2
AIM/CGE 2.2,EN_INDCi2030_1400f,2
AIM/CGE 2.2,EN_INDCi2030_1600,2
AIM/CGE 2.2,EN_INDCi2030_1600f,2
