No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
903,Investment|Energy Supply|Electricity|Coal,4,Investment,Energy system,billion US$2010/yr,석탄를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
904,Investment|Energy Supply|Electricity|Coal|w/ CCS,5,Investment,Energy system,billion US$2010/yr,석탄를 이용한 전기공급에 대한 투자(ccs 기술을 적용한),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
905,Investment|Energy Supply|Electricity|Coal|w/o CCS,5,Investment,Energy system,billion US$2010/yr,석탄를 이용한 전기공급에 대한 투자(ccs 기술을 적용하지 않은),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
906,Investment|Energy Supply|Electricity|Electricity Storage,4,Investment,Energy system,billion US$2010/yr,"investments in electricity storage technologies (e.g., batteries, compressed air storage reservoirs, etc.)",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
907,Investment|Energy Supply|Electricity|Fossil,4,Investment,Energy system,billion US$2010/yr,화석연료를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
908,Investment|Energy Supply|Electricity|Gas,4,Investment,Energy system,billion US$2010/yr,가스를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
909,Investment|Energy Supply|Electricity|Gas|w/ CCS,5,Investment,Energy system,billion US$2010/yr,가스를 이용한 전기공급에 대한 투자(ccs 기술을 적용한),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
910,Investment|Energy Supply|Electricity|Gas|w/o CCS,5,Investment,Energy system,billion US$2010/yr,가스를 이용한 전기공급에 대한 투자(ccs 기술을 적용한),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
911,Investment|Energy Supply|Electricity|Geothermal,4,Investment,Energy system,billion US$2010/yr,지열를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
912,Investment|Energy Supply|Electricity|Hydro,4,Investment,Energy system,billion US$2010/yr,수력를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
913,Investment|Energy Supply|Electricity|Non-Biomass Renewables,4,Investment,Energy system,billion US$2010/yr,Non-Biomass Renewables를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
914,Investment|Energy Supply|Electricity|Non-fossil,4,Investment,Energy system,billion US$2010/yr,Non-fossil를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
915,Investment|Energy Supply|Electricity|Nuclear,4,Investment,Energy system,billion US$2010/yr,Nuclear를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
917,Investment|Energy Supply|Electricity|Oil,4,Investment,Energy system,billion US$2010/yr,석유를 이용한 전기공급에 대한 투자,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
