No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
32,Capacity|Electricity|Coal|w/o CCS,4,Energy,Energy system,GW,"Total installed (available) capacity of coal power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of coal power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Coal|w/o CCS|1, ..., Capacity|Electricity|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
34,Capacity|Electricity|Gas,3,Energy,Energy system,GW,total installed electricity generation capacity of gas power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
35,Capacity|Electricity|Gas|w/ CCS,4,Energy,Energy system,GW,"Total installed (available) capacity of gas power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/ CCS|1, ..., Capacity|Electricity|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
36,Capacity|Electricity|Gas|w/o CCS,4,Energy,Energy system,GW,"Total installed (available) capacity of gas power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of gas power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Gas|w/o CCS|1, ..., Capacity|Electricity|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
37,Capacity|Electricity|Geothermal,3,Energy,Energy system,GW,total installed electricity generation capacity of geothermal power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
38,Capacity|Electricity|Hydro,3,Energy,Energy system,GW,total installed electricity generation capacity of hydro power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
40,Capacity|Electricity|Nuclear,3,Energy,Energy system,GW,total installed electricity generation capacity of nuclear power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
42,Capacity|Electricity|Oil,3,Energy,Energy system,GW,total installed electricity generation capacity of oil power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
43,Capacity|Electricity|Oil|w/ CCS,4,Energy,Energy system,GW,"Total installed (available) capacity of oil power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/ CCS|1, ..., Capacity|Electricity|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
44,Capacity|Electricity|Oil|w/o CCS,4,Energy,Energy system,GW,"Total installed (available) capacity of oil power plants without CCS, including plants held in an operating reserve. The installed (available) capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Electricity|Oil|w/o CCS|1, ..., Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
48,Capacity|Electricity|Solar,3,Energy,Energy system,GW,total installed electricity generation capacity of solar power installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
49,Capacity|Electricity|Solar|CSP,4,Energy,Energy system,GW,total installed electricity generation capacity of CSP plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
50,Capacity|Electricity|Solar|PV,4,Energy,Energy system,GW,total installed electricity generation capacity of PV installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
53,Capacity|Electricity|Storage,3,Energy,Energy system,GW,Total installed (available) capacity of operating electricity storage,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
61,Capacity|Electricity|Wind,3,Energy,Energy system,GW,total installed electricity generation capacity of wind power installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
62,Capacity|Electricity|Wind|Offshore,4,Energy,Energy system,GW,total installed electricity generation capacity of offshore wind power installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
63,Capacity|Electricity|Wind|Onshore,4,Energy,Energy system,GW,total installed electricity generation capacity of onshore wind power installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
191,Cumulative Capacity|Electricity|Biomass,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of biomass power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
192,Cumulative Capacity|Electricity|Biomass|w/ CCS,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of biomass power plants with CCS.,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
193,Cumulative Capacity|Electricity|Biomass|w/o CCS,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of biomass power plants without CCS.,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
194,Cumulative Capacity|Electricity|Coal,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of coal power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
195,Cumulative Capacity|Electricity|Coal|w/ CCS,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of coal power plants with CCS.,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
196,Cumulative Capacity|Electricity|Coal|w/o CCS,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of coal power plants without CCS.,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
198,Cumulative Capacity|Electricity|Gas,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of gas power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
199,Cumulative Capacity|Electricity|Gas|w/ CCS,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of gas power plants without CCS.,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
200,Cumulative Capacity|Electricity|Gas|w/o CCS,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of gas power plants with CCS.,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
201,Cumulative Capacity|Electricity|Geothermal,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of geothermal power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
202,Cumulative Capacity|Electricity|Hydro,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of hydro power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
204,Cumulative Capacity|Electricity|Nuclear,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of nuclear power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
206,Cumulative Capacity|Electricity|Oil,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of oil power plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
207,Cumulative Capacity|Electricity|Oil|w/ CCS,4,Energy,Energy system,GW,"Cumulative installed capacity (since 2005) of oil power plants with CCS. The cumulative capacity of CCS oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/ CCS|1, ..., Cumulative Capacity|Electricity|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
208,Cumulative Capacity|Electricity|Oil|w/o CCS,4,Energy,Energy system,GW,"Cumulative installed capacity (since 2005) of oil power plants without CCS. The cumulative capacity of oil power plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Electricity|Oil|w/o CCS|1, ..., Cumulative Capacity|Electricity|Oil|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
211,Cumulative Capacity|Electricity|Solar,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of solar power installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
212,Cumulative Capacity|Electricity|Solar|CSP,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of CSP plants,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
213,Cumulative Capacity|Electricity|Solar|PV,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of PV installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
214,Cumulative Capacity|Electricity|Wind,3,Energy,Energy system,GW,cumulative installed capacity (since 2005) of wind power installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
215,Cumulative Capacity|Electricity|Wind|Offshore,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of offshore wind power installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
216,Cumulative Capacity|Electricity|Wind|Onshore,4,Energy,Energy system,GW,cumulative installed capacity (since 2005) of onshore wind power installations,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
223,Cumulative Capacity|Hydrogen|Biomass,3,Energy,Energy system,GW,Cumulative installed capacity (since 2005) of biomass to hydrogen plants.,output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
224,Cumulative Capacity|Hydrogen|Biomass|w/ CCS,4,Energy,Energy system,GW,"Cumulative installed capacity (since 2005) of biomass to hydrogen plants with CCS. The cumulative capacity of CCS biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
225,Cumulative Capacity|Hydrogen|Biomass|w/o CCS,4,Energy,Energy system,GW,"Cumulative installed capacity (since 2005) of biomass to hydrogen plants without CCS. The cumulative capacity of biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
229,Cumulative Capacity|Hydrogen|Electricity,3,Energy,Energy system,GW,"Cumulative installed capacity (since 2005) of hydrogen-by-electrolysis plants. The cumulative capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Electricity|1, ..., Cumulative Capacity|Hydrogen|Electricity|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet). ",output,"Capacity는 입력변수로부터 산정되며, 출력변수 산정을 위한 변수로 활용됨
- https://pure.iiasa.ac.at/id/eprint/15157/1/manuscript%20%20The%20MESSAGEix.pdf
- https://www.sciencedirect.com/science/article/pii/S1364032122006657"
156,Carbon Sequestration|CCS,2,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
157,Carbon Sequestration|CCS|Biomass,3,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
159,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,6,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
160,Carbon Sequestration|CCS|Biomass|Energy|Supply,5,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
161,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,6,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
163,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,6,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from bioenergy use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
164,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,6,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from bioenergy use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
167,Carbon Sequestration|CCS|Fossil,3,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
169,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,6,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from fossil fuel use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
170,Carbon Sequestration|CCS|Fossil|Energy|Supply,5,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
171,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,6,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from fossil fuel use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
173,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,6,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from fossil fuel use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
174,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,6,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from fossil fuel use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
177,Carbon Sequestration|CCS|Industrial Processes,3,CCS,Energy system,Mt CO2/yr,"total carbon dioxide emissions captured from industrial processes (e.g., cement production, but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",output,https://essd.copernicus.org/preprints/essd-2024-68/
178,Carbon Sequestration|Direct Air Capture,2,CCS,Energy system,Mt CO2/yr,total carbon dioxide sequestered through direct air capture,output,https://essd.copernicus.org/preprints/essd-2024-68/
181,Carbon Sequestration|Land Use,2,CCS,Energy system,Mt CO2/yr,"total carbon dioxide sequestered through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar)",output,https://essd.copernicus.org/preprints/essd-2024-68/
182,Carbon Sequestration|Land Use|Afforestation,3,CCS,Energy system,Mt CO2/yr,total carbon dioxide sequestered through afforestation,output,https://essd.copernicus.org/preprints/essd-2024-68/
190,Consumption,1,Economy,Energy system,billion US$2010/yr,"total consumption of all goods, by all consumers in a region",output,Total Consumption
277,Emissions|BC,2,Emissions,Energy system,Mt BC/yr,total black carbon emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
278,Emissions|BC|AFOLU,3,Emissions,Energy system,Mt BC/yr,"black carbon emissions from agriculture, forestry and other land use (IPCC category 3)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
281,Emissions|BC|Energy,3,Emissions,Energy system,Mt BC/yr,"black carbon emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
282,Emissions|BC|Energy|Demand|Industry,5,Emissions,Energy system,Mt BC/yr,black carbon emissions from fuel combustion in industry (IPCC category 1A2),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
283,Emissions|BC|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt BC/yr,"black carbon emissions from fuel combustion in residential, commercial, institutional sectors and agriculture (IPCC category 1A4a, 1A4b)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
286,Emissions|BC|Energy|Demand|Transportation,5,Emissions,Energy system,Mt BC/yr,"black carbon emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
289,Emissions|BC|Energy|Supply,4,Emissions,Energy system,Mt BC/yr,"black carbon emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
295,Emissions|CH4,2,Emissions,Energy system,Mt CH4/yr,total CH4 emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
296,Emissions|CH4|AFOLU,3,Emissions,Energy system,Mt CH4/yr,"CH4 emissions from agriculture, forestry and other land use (IPCC category 3)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
297,Emissions|CH4|AFOLU|Agriculture,4,Emissions,Energy system,Mt CH4/yr,CH4 emissions from Livestock in the agriculture sector,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
298,Emissions|CH4|AFOLU|Agriculture|Livestock,5,Emissions,Energy system,Mt CH4/yr,CH4 emissions from Livestock in the agriculture sector,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
299,Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation,6,Emissions,Energy system,Mt CH4/yr,CH4 emissions from enteric fermentation in  Livestock in the agriculture sector,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
300,Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management,6,Emissions,Energy system,Mt CH4/yr,CH4 emissions from processes involving manure (waste) management  in Livestock in the agriculture sector,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
301,Emissions|CH4|AFOLU|Agriculture|Rice,5,Emissions,Energy system,Mt CH4/yr,CH4 emissions from rice cultivation in the agriculture sector,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
304,Emissions|CH4|Energy,3,Emissions,Energy system,Mt CH4/yr,"CH4 emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
305,Emissions|CH4|Energy|Demand|Industry,5,Emissions,Energy system,Mt CH4/yr,CH4 emissions from fuel combustion in industry (IPCC category 1A2),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
306,Emissions|CH4|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt CH4/yr,"CH4 emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a, 1A4b)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
